region,region_weight,city,city_weight
guangdong,1.0,shenzhen,1.0
guangdong,1.0,guangzhou,0.9952535937076213
guangdong,1.0,foshan,0.07146731760238677
guangdong,1.0,dongguan,0.06712774613506917
guangdong,1.0,zhuhai,0.04203959858963927
guangdong,1.0,huizhou,0.03281800922158937
guangdong,1.0,zhongshan,0.029834553837808517
guangdong,1.0,jiangmen,0.01817195551939246
guangdong,1.0,zhanjiang,0.018036343911038786
guangdong,1.0,shantou,0.015459723352318959
guangdong,1.0,meizhou,0.013425549227013833
guangdong,1.0,maoming,0.010984540276647681
guangdong,1.0,zhaoqing,0.010442093843232981
guangdong,1.0,yangjiang,0.00881475454298888
guangdong,1.0,jieyang,0.006916192026037429
guangdong,1.0,shaoguan,0.005017629509085977
guangdong,1.0,chaozhou,0.003797125033902902
guangdong,1.0,qingyuan,0.0027122321670735015
guangdong,1.0,heyuan,0.001898562516951451
guangdong,1.0,shanwei,0.0009492812584757255
guangdong,1.0,yunfu,0.0
jiangsu,0.7358943171835934,suzhou_jiangsu,1.0
jiangsu,0.7358943171835934,nanjing,0.8600150791656195
jiangsu,0.7358943171835934,wuxi,0.46142246795677305
jiangsu,0.7358943171835934,changzhou,0.27821060567981903
jiangsu,0.7358943171835934,xuzhou,0.04046242774566474
jiangsu,0.7358943171835934,yangzhou,0.03292284493591355
jiangsu,0.7358943171835934,nantong,0.02839909525006283
jiangsu,0.7358943171835934,taizhou_jiangsu,0.011058054787635083
jiangsu,0.7358943171835934,zhenjiang,0.007036943955767781
jiangsu,0.7358943171835934,lianyungang,0.005780346820809248
jiangsu,0.7358943171835934,yancheng,0.005277707966825836
jiangsu,0.7358943171835934,huaian,0.004021110831867303
jiangsu,0.7358943171835934,suqian,0.0
sichuan,0.6191972430569633,chengdu,1.0
sichuan,0.6191972430569633,mianyang,0.14832904884318765
sichuan,0.6191972430569633,leshan,0.12133676092544987
sichuan,0.6191972430569633,nanchong,0.09640102827763496
sichuan,0.6191972430569633,deyang,0.09460154241645244
sichuan,0.6191972430569633,yibin,0.08251928020565552
sichuan,0.6191972430569633,luzhou,0.07377892030848329
sichuan,0.6191972430569633,dazhou,0.07223650385604113
sichuan,0.6191972430569633,zigong,0.05989717223650386
sichuan,0.6191972430569633,meishan,0.05372750642673522
sichuan,0.6191972430569633,suining,0.05012853470437018
sichuan,0.6191972430569633,ziyang,0.04832904884318766
sichuan,0.6191972430569633,neijiang,0.04755784061696658
sichuan,0.6191972430569633,liangshan,0.04061696658097686
sichuan,0.6191972430569633,panzhihua,0.038303341902313624
sichuan,0.6191972430569633,guangan,0.038303341902313624
sichuan,0.6191972430569633,guangyuan,0.03470437017994859
sichuan,0.6191972430569633,yaan,0.02622107969151671
sichuan,0.6191972430569633,bazhong,0.02262210796915167
sichuan,0.6191972430569633,aba,0.008997429305912597
sichuan,0.6191972430569633,ganzi,0.0
hubei,0.374315832150821,wuhan,1.0
hubei,0.374315832150821,jingmen,0.1626129256428075
hubei,0.374315832150821,yichang,0.14246004169562196
hubei,0.374315832150821,xiangfan,0.13759555246699096
hubei,0.374315832150821,jingzhou,0.08895066018068103
hubei,0.374315832150821,xiaogan,0.08686587908269632
hubei,0.374315832150821,xianning,0.06462821403752605
hubei,0.374315832150821,shiyan,0.06254343293954134
hubei,0.374315832150821,huanggang,0.06184850590687978
hubei,0.374315832150821,huangshi,0.046560111188325225
hubei,0.374315832150821,enshishi,0.018068102849200834
hubei,0.374315832150821,ezhou,0.01667824878387769
hubei,0.374315832150821,suizhou,0.0
zhejiang,0.37100479762146094,hangzhou,1.0
zhejiang,0.37100479762146094,ningbo,0.5232815964523282
zhejiang,0.37100479762146094,wenzhou,0.30007390983000737
zhejiang,0.37100479762146094,jinhua,0.12195121951219512
zhejiang,0.37100479762146094,huzhou,0.11825572801182557
zhejiang,0.37100479762146094,taizhou,0.11456023651145603
zhejiang,0.37100479762146094,jiaxing,0.09460458240946046
zhejiang,0.37100479762146094,shaoxing,0.06947524020694752
zhejiang,0.37100479762146094,lishui,0.014042867701404288
zhejiang,0.37100479762146094,zhoushan,0.0029563932002956393
zhejiang,0.37100479762146094,quzhou,0.0
shandong,0.3143117778228259,qingdao,1.0
shandong,0.3143117778228259,jinan,0.554074074074074
shandong,0.3143117778228259,weifang,0.29185185185185186
shandong,0.3143117778228259,linyi,0.2607407407407407
shandong,0.3143117778228259,yantai,0.2548148148148148
shandong,0.3143117778228259,jining,0.22814814814814816
shandong,0.3143117778228259,zibo,0.17333333333333334
shandong,0.3143117778228259,taian,0.15555555555555556
shandong,0.3143117778228259,dongying,0.0962962962962963
shandong,0.3143117778228259,heze,0.09481481481481481
shandong,0.3143117778228259,zaozhuang,0.09185185185185185
shandong,0.3143117778228259,dezhou,0.08296296296296296
shandong,0.3143117778228259,liaocheng,0.08
shandong,0.3143117778228259,weihai,0.07703703703703704
shandong,0.3143117778228259,binzhou,0.06962962962962962
shandong,0.3143117778228259,rizhao,0.06666666666666667
shandong,0.3143117778228259,laiwu,0.0
fujian,0.3015068585715251,quanzhou,1.0
fujian,0.3015068585715251,fuzhou_124,0.18238213399503722
fujian,0.3015068585715251,xiamen,0.17245657568238212
fujian,0.3015068585715251,zhangzhou,0.04156327543424317
fujian,0.3015068585715251,putian,0.028535980148883373
fujian,0.3015068585715251,longyan,0.011166253101736972
fujian,0.3015068585715251,ningde,0.009925558312655087
fujian,0.3015068585715251,sanming,0.0006203473945409429
fujian,0.3015068585715251,nanping,0.0
hunan,0.2933982025812555,changsha,1.0
hunan,0.2933982025812555,zhuzhou,0.16685979142526072
hunan,0.2933982025812555,hengyang,0.15179606025492468
hunan,0.2933982025812555,yueyang,0.11471610660486674
hunan,0.2933982025812555,changde,0.10892236384704519
hunan,0.2933982025812555,huaihua,0.0984936268829664
hunan,0.2933982025812555,xiangtan,0.09733487833140209
hunan,0.2933982025812555,shaoyang,0.09617612977983778
hunan,0.2933982025812555,chenzhou,0.09501738122827347
hunan,0.2933982025812555,yiyang,0.06257242178447277
hunan,0.2933982025812555,loudi,0.05909617612977984
hunan,0.2933982025812555,yongzhou,0.03707995365005794
hunan,0.2933982025812555,xiangxi,0.009269988412514484
hunan,0.2933982025812555,zhangjiajie,0.0
hebei,0.2864720589229002,shijiazhuang,1.0
hebei,0.2864720589229002,xingtai,0.24808743169398906
hebei,0.2864720589229002,baoding,0.2098360655737705
hebei,0.2864720589229002,tangshan,0.2
hebei,0.2864720589229002,langfang,0.12240437158469945
hebei,0.2864720589229002,cangzhou,0.09508196721311475
hebei,0.2864720589229002,handan,0.08633879781420765
hebei,0.2864720589229002,hengshui,0.041530054644808745
hebei,0.2864720589229002,qinhuangdao,0.03715846994535519
hebei,0.2864720589229002,zhangjiakou,0.006557377049180328
hebei,0.2864720589229002,chengde,0.0
henan,0.28397188999256706,zhengzhou,1.0
henan,0.28397188999256706,luoyang,0.12079927338782924
henan,0.28397188999256706,xinxiang,0.07356948228882834
henan,0.28397188999256706,nanyang,0.07266121707538602
henan,0.28397188999256706,pingdingshan,0.05722070844686648
henan,0.28397188999256706,jiaozuo,0.049954586739327886
henan,0.28397188999256706,xinyang,0.043596730245231606
henan,0.28397188999256706,xuchang,0.04178019981834696
henan,0.28397188999256706,anyang,0.0326975476839237
henan,0.28397188999256706,shangqiu,0.029064486830154404
henan,0.28397188999256706,zhoukou,0.02452316076294278
henan,0.28397188999256706,kaifeng,0.021798365122615803
henan,0.28397188999256706,sanmenxia,0.019981834695731154
henan,0.28397188999256706,puyang,0.012715712988192553
henan,0.28397188999256706,luohe,0.005449591280653951
henan,0.28397188999256706,hebi,0.0036330608537693005
henan,0.28397188999256706,zhumadian,0.0
shannxi,0.2740050003378607,xian,1.0
shannxi,0.2740050003378607,xianyang,0.09565217391304348
shannxi,0.2740050003378607,weinan,0.09420289855072464
shannxi,0.2740050003378607,yulin_333,0.08768115942028985
shannxi,0.2740050003378607,hanzhong,0.07536231884057971
shannxi,0.2740050003378607,baoji,0.07391304347826087
shannxi,0.2740050003378607,ankang,0.04710144927536232
shannxi,0.2740050003378607,shangluo,0.025362318840579712
shannxi,0.2740050003378607,yanan,0.013768115942028985
shannxi,0.2740050003378607,tongzhou,0.0
liaoning,0.245894992904926,shenyang,1.0
liaoning,0.245894992904926,dalian,0.9048387096774193
liaoning,0.245894992904926,jinzhou,0.11290322580645161
liaoning,0.245894992904926,anshan,0.09032258064516129
liaoning,0.245894992904926,yingkou,0.05161290322580645
liaoning,0.245894992904926,fuxin,0.037096774193548385
liaoning,0.245894992904926,dandong,0.025806451612903226
liaoning,0.245894992904926,benxi,0.02258064516129032
liaoning,0.245894992904926,tieling,0.01935483870967742
liaoning,0.245894992904926,panjin,0.01935483870967742
liaoning,0.245894992904926,huludao,0.017741935483870968
liaoning,0.245894992904926,chaoyang,0.012903225806451613
liaoning,0.245894992904926,fushun,0.012903225806451613
liaoning,0.245894992904926,liaoyang,0.0
shanxi,0.2428542469085749,taiyuan,1.0
shanxi,0.2428542469085749,yuncheng,0.20959147424511546
shanxi,0.2428542469085749,lvliang,0.20426287744227353
